Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;9948;100;99;29,4;612;6,1;111;1,11;8;146;33;156;51;1594;2803;10;193;480;9;99;11,7;55;
BRUNO OLIVEIRA;9268;100;92;30,5;593;6,4;140;1,51;8;152;44;167;52;1528;3421;10;182;589;11;72;12,7;34;
CLAYTON;3177;31;104;28,7;234;7,4;77;2,42;6;53;13;46;16;569;1220;12;375;227;11;73;10,3;40;
DIEGO CEARÁ;8830;100;88;29,9;562;6,4;131;1,48;12;139;31;138;43;1317;2937;8;240;482;8;64;10,7;29;
FRANÇA;2453;22;110;32,5;270;11;97;3,96;5;37;6;43;12;482;774;10;134;138;10;66;13;35;
IGOR NUNES;9734;100;97;27,2;477;4,9;9;0,09;1;146;38;114;35;1321;3353;9;186;531;8;58;11,6;33;
JADSON;9089;100;91;30,3;462;5,1;48;0,52;3;113;18;126;42;1095;3072;8;156;507;8;53;11;31;
JEFFERSON;7001;70;100;28,7;615;8,8;111;1,59;13;149;36;128;41;1336;2504;11;182;447;11;63;11,8;36;
JOÃO MARCUS;9259;100;92;31,5;472;5,1;76;0,82;4;147;45;128;31;1475;3234;9;183;524;8;58;10,4;32;
JUNIOR DINDÊ;4967;51;98;29,3;266;5,4;48;0,96;2;55;12;65;28;685;1642;10;267;291;7;60;10,3;32;
KAYAN;3374;31;110;28,4;329;9,7;65;1,94;4;41;11;74;31;675;1400;15;139;267;12;78;13,3;46;
LUCAS;1706;15;116;27,8;197;11,6;52;3,03;5;21;5;35;17;371;656;14;169;122;12;66;11;45;
MARQUINHOS;9778;86;113;29,6;483;4,9;69;0,71;4;140;30;180;56;1736;3588;12;168;647;11;68;13,1;42;
RAFINHA;7735;70;111;31,6;409;5,3;44;0,57;2;92;17;128;52;1258;2939;13;166;537;11;70;12,6;42;
TIBIRI;5276;50;107;23,8;235;4,5;0;0;0;72;16;78;19;871;1871;10;199;309;10;65;11,8;38;
TOSCANO;7887;78;101;30,5;516;6,5;142;1,8;12;103;12;108;32;1224;3004;12;154;547;8;80;11,5;39;
