Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10311;99;104;29,1;639;6,1;106;1,03;7;140;34;148;50;1585;3042;11;198;540;9;99;11,3;57;
ANDERSON LIGEIRO;2797;24;117;32,6;301;10,8;102;3,65;5;40;13;44;13;534;1059;13;185;186;8;76;10,7;44;
BRUNO OLIVEIRA;9531;99;96;33,3;775;8,1;196;2,06;16;145;29;159;45;1459;3306;10;177;571;9;61;12,1;33;
CESINHA;5141;51;100;27,3;173;3,4;12;0,23;1;52;19;58;20;675;1783;11;152;325;7;60;10;35;
CLAYTON;8999;82;110;27,3;523;5,8;22;0,24;2;129;34;131;44;1457;3419;13;285;633;11;72;11,6;42;
DIEGO CEARÁ;9993;99;101;31,4;527;5,3;63;0,63;4;136;38;155;60;1424;3216;9;244;532;9;57;10,7;33;
IGOR NUNES;5196;47;110;29,7;361;7;61;1,17;6;95;28;80;28;905;1853;11;157;310;11;67;11,8;39;
JADSON;9400;99;95;32,1;429;4,6;65;0,7;4;96;18;117;38;1101;3104;9;150;526;7;54;9,9;31;
JEFFERSON;8084;75;108;32,6;935;11,6;275;3,4;12;142;36;136;46;1644;2840;12;250;533;10;62;13,6;38;
JOÃO MARCUS;9423;99;95;30,1;401;4,3;60;0,64;7;147;44;127;45;1365;3377;10;221;564;9;64;10,2;34;
JUNIOR DINDÊ;9543;92;104;27,8;494;5,2;32;0,34;4;96;18;93;33;1260;3187;11;120;580;6;63;11,6;35;
KLAYVER;699;8;93;22,4;27;3,8;0;0;0;16;6;11;3;81;266;11;151;48;12;57;8,1;35;
MARQUINHOS;9499;82;117;26,9;455;4,8;37;0,39;3;119;24;145;50;1549;3541;13;360;656;10;73;13,4;43;
RAFINHA;2065;18;117;27,2;171;8,3;19;0,91;1;20;3;43;12;423;796;14;170;149;13;80;12;45;
TIBIRI;1877;18;107;27,3;71;3,8;18;0,94;2;42;11;40;9;315;704;11;135;120;12;74;11;40;
TOSCANO;10932;99;111;27,9;754;6,9;103;0,94;8;127;20;144;50;1669;4230;13;210;798;8;70;13;43;
