Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10032;100;100;29,8;591;5,8;124;1,23;9;143;34;148;48;1527;2990;10;199;515;8;97;11,4;59;
ANDERSON LIGEIRO;2304;17;132;28,7;250;10,9;53;2,3;4;39;7;32;14;475;876;15;124;154;10;67;13,5;50;
BRUNO OLIVEIRA;9459;100;95;32;529;5,6;172;1,82;11;147;36;136;41;1371;3198;9;234;526;8;62;11;32;
CESINHA;737;6;118;23,8;46;6,2;0;0;0;7;1;5;1;96;260;13;99;47;8;55;10,2;42;
CLAYTON;7846;76;103;31,6;517;6,6;116;1,48;6;113;30;127;43;1268;2866;11;182;523;10;63;10,7;38;
DIEGO CEARÁ;8527;93;91;33,3;586;6,9;160;1,87;10;143;38;162;48;1266;2704;8;240;457;9;61;11,1;29;
EZEQUIEL;991;7;148;31,1;109;11;39;3,92;3;23;3;19;7;238;380;18;154;70;17;80;15,9;57;
IGOR NUNES;9722;93;104;29,4;717;7,4;125;1,28;11;147;40;150;55;1612;3254;10;211;539;9;60;11,2;35;
JADSON;9299;100;93;29,2;499;5,4;94;1,01;7;101;24;120;40;1180;3023;8;170;506;7;60;9,8;30;
JEFFERSON;1711;15;117;29,5;225;13,1;42;2,46;3;35;6;34;10;361;600;13;153;109;10;62;11,8;41;
JOÃO MARCUS;9602;100;96;29,8;416;4,3;44;0,46;2;137;41;103;30;1383;3283;9;203;530;7;62;10;33;
JUNIOR DINDÊ;7850;82;95;31,3;272;3,5;77;0,98;7;86;13;88;25;1014;2480;9;165;431;6;51;10,8;30;
KAYAN;8195;82;100;29,6;404;4,9;65;0,79;4;105;31;125;39;1176;3293;12;344;598;8;66;10,8;40;
MARQUINHOS;10991;100;110;30,9;489;4,5;84;0,76;6;174;38;187;64;1788;3988;12;276;726;10;70;12,3;40;
TIBIRI;2168;17;125;26,4;124;5,7;6;0,27;1;35;9;45;16;482;760;12;180;128;14;66;11,6;44;
TOSCANO;8466;86;99;30,8;587;6,9;133;1,57;9;98;17;115;34;1184;3224;11;247;573;7;65;10,8;38;
