Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;9662;100;97;29,8;597;6,1;147;1,51;8;145;33;142;46;1458;3034;10;205;527;8;91;11,3;51;
ANDERSON LIGEIRO;1305;11;120;31,2;169;13;57;4,34;2;22;4;25;8;271;484;13;176;85;11;66;12;44;
BRUNO OLIVEIRA;9662;100;97;31,6;743;7,7;175;1,81;13;156;39;163;60;1584;3332;9;185;566;9;70;11,5;33;
CLAYTON;7593;77;99;29,8;488;6,4;136;1,79;7;124;43;102;36;1149;2888;11;159;525;9;78;11,1;38;
DIEGO CEARÁ;8672;100;87;35,1;672;7,7;214;2,46;10;175;41;156;48;1299;2822;8;207;490;9;54;10,6;28;
IGOR NUNES;9597;100;96;32,3;565;5,9;244;2,54;13;172;39;158;51;1354;3358;9;283;548;9;60;10,6;34;
JADSON;8456;100;85;28;295;3,5;71;0,84;6;98;21;95;27;895;2822;8;192;460;7;51;10,3;28;
JEFFERSON;2572;23;112;29,9;255;9,9;74;2,86;4;48;9;48;14;570;875;12;309;159;11;66;11,6;38;
JUNIOR DINDÊ;2366;23;103;24,5;88;3,7;0;0;0;27;4;26;7;291;762;10;146;131;7;55;10,3;33;
KAYAN;9359;89;105;32,1;801;8,6;132;1,41;7;133;33;162;53;1758;3963;14;203;756;10;88;12,8;45;
MARQUINHOS;9573;89;108;29,3;619;6,5;80;0,83;6;142;29;144;45;1676;3431;12;204;633;9;66;12,7;39;
OTÁVIO;10101;100;101;29,8;347;3,4;89;0,89;5;139;32;131;39;1420;3445;9;170;568;8;67;12,2;35;
RAFINHA;1327;11;122;24,2;77;5,8;0;0;0;26;5;32;15;262;527;15;168;99;18;70;11,9;49;
TOSCANO;7831;77;102;31,6;618;7,9;183;2,34;9;94;10;91;28;1216;3020;12;337;556;7;67;11,4;39;
VITÃO;8227;100;82;28,3;232;2,8;20;0,24;2;96;19;84;27;840;2940;8;128;484;6;55;9,9;29;
