Player;Atividade;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;TLmax_5min;Dynamic Index;MPmax;Player Load;Strength index
Team Average;Treino;3200;70;46;24,6;75;2;12;0,26;0;57;19;42;14;310;1241;36;5;150;200;6
ANDERSON LIGEIRO;Treino;2967;72;41;24;30;1;0;0;0;52;15;35;12;242;1225;35;4;130;192;5
BRUNO OLIVEIRA;Treino;2838;72;39;22,9;45;1,6;0;0;0;39;6;34;15;229;1136;40;4;115;179;5
CESINHA;Treino;2889;72;40;22,5;36;1,2;0;0;0;47;14;33;15;214;1094;31;4;144;178;5
CHARLES;Treino;3704;54;68;31,6;310;8,4;64;1,72;3;86;26;68;31;546;1452;49;8;217;248;9
CLAYTON;Treino;3158;72;44;23,2;29;0,9;0;0;0;60;29;43;19;318;1261;34;5;137;204;6
DIEGO CEARÁ;Treino;2815;72;39;23,6;36;1,3;0;0;0;46;14;33;12;227;1023;21;4;148;159;6
EZEQUIEL;Treino;3759;72;52;23,1;46;1,2;0;0;0;73;26;55;19;363;1543;45;6;123;260;7
FRANÇA;Treino;2503;72;35;25,1;35;1,4;0;0;0;48;14;35;8;208;913;24;3;146;145;6
IGOR NUNES;Treino;2892;72;40;24;41;1,4;0;0;0;65;16;37;15;270;1190;35;4;181;177;6
JADSON;Treino;3684;54;68;30,1;352;9,5;90;2,46;3;55;17;35;10;548;1279;44;7;106;214;6
JEFFERSON;Treino;3134;72;43;24,8;88;2,8;0;0;0;61;26;46;12;322;1218;34;5;275;204;6
JOÃO MARCUS;Treino;2870;72;40;20,9;18;0,6;0;0;0;66;28;46;11;219;1116;25;4;188;161;6
JUNIOR DINDÊ;Treino;3169;72;44;28;43;1,4;10;0,31;1;49;11;36;11;251;1174;30;5;235;196;5
KAYAN;Treino;3214;72;45;23,7;47;1,5;0;0;0;63;29;45;16;275;1434;32;6;140;239;6
KLAYVER;Treino;3939;72;55;24,7;73;1,9;0;0;0;76;30;56;22;381;1412;40;6;123;245;6
LUCAS;Treino;2918;72;40;24,5;79;2,7;0;0;0;45;11;55;16;380;1220;40;5;143;202;6
MARQUINHOS;Treino;3501;72;49;22,9;32;0,9;0;0;0;88;30;56;14;354;1439;36;5;175;235;7
ORLANDO JUNIOR;Treino;3145;72;44;27,8;46;1,5;10;0,33;1;60;21;39;9;279;1273;34;4;164;194;6
OTÁVIO;Treino;3612;72;50;20,5;6;0,2;0;0;0;39;12;22;5;237;1276;37;4;100;188;4
PEDRO VITOR;Treino;3583;54;66;32,1;315;8,8;99;2,78;3;69;23;48;10;543;1390;46;7;135;244;7
RAFINHA;Treino;2932;72;41;24,5;57;2;0;0;0;37;12;37;11;297;1165;37;4;152;192;5
TIBIRI;Treino;3470;72;48;26,3;36;1;6;0,19;1;72;27;63;20;339;1267;41;5;121;202;7
TOSCANO;Treino;2822;72;39;18,9;0;0;0;0;0;41;7;33;14;151;1238;39;4;104;187;5
VITÃO;Treino;3292;72;46;20,6;3;0,1;0;0;0;37;14;27;10;254;1139;36;4;98;180;5
