Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;9940;101;99;31,2;738;7,4;201;2,05;12;157;39;165;60;1625;2823;10;207;495;9;94;11,3;55;
BRUNO OLIVEIRA;9595;101;95;32,6;936;9,8;238;2,48;15;139;20;169;68;1626;3341;10;212;587;9;64;10,8;33;
CESINHA;6662;73;92;29,6;388;5,8;83;1,24;6;81;29;101;30;996;2194;9;292;385;8;54;10,6;30;
CLAYTON;8710;88;99;32,1;604;6,9;200;2,29;10;144;40;132;53;1394;3211;11;190;582;10;64;11,4;37;
DIEGO CEARÁ;8946;101;89;35,6;743;8,3;294;3,29;16;165;43;156;53;1324;2871;8;273;483;9;53;9,6;28;
IGOR NUNES;3125;28;111;32,1;234;7,5;39;1,24;2;61;24;50;13;559;1070;10;187;177;10;59;12,1;38;
JADSON;9599;101;95;31,7;528;5,5;197;2,06;9;123;29;122;46;1170;3102;9;177;519;7;50;10,4;31;
JEFFERSON;7455;73;102;33,1;857;11,5;212;2,85;19;149;33;160;54;1547;2616;11;225;477;11;62;11,5;36;
JOÃO MARCUS;9374;101;93;31,3;674;7,2;230;2,45;10;178;59;156;64;1588;3230;9;198;544;10;55;10,9;32;
JUNIOR DINDÊ;1566;13;118;26,3;58;3,7;6;0,36;1;16;5;11;6;228;501;11;117;89;7;53;10,9;38;
KAYAN;6990;66;105;29,7;627;9;152;2,18;7;127;28;120;51;1201;2919;14;198;551;10;76;11,6;44;
MARQUINHOS;9200;88;105;32,3;568;6,2;134;1,45;6;125;23;162;54;1509;3292;11;253;603;10;67;12,1;38;
ORLANDO JUNIOR;2783;28;100;30;264;9,5;50;1,8;5;45;9;59;20;532;1121;12;146;202;10;73;11,8;40;
OTÁVIO;9825;101;97;35,6;442;4,5;116;1,18;7;138;27;139;40;1486;3388;10;184;576;9;61;10,7;34;
RAFINHA;1648;13;123;26,6;199;12,1;11;0,65;1;30;11;45;19;413;613;15;137;118;15;65;12,7;46;
TOSCANO;3974;35;114;29,3;267;6,7;49;1,23;3;49;9;69;25;683;1505;13;319;280;8;81;11,9;43;
