Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;9780;107;91;29,8;629;6,4;120;1,23;8;144;32;146;46;1431;2981;10;205;526;8;92;10,8;47;
BRUNO OLIVEIRA;8695;107;81;29,3;558;6,4;78;0,9;7;125;23;123;38;1192;2971;8;212;508;7;65;9,5;28;
CESINHA;9237;107;86;31,1;472;5,1;60;0,65;3;103;27;107;39;1133;3101;9;190;558;6;54;10,2;29;
CLAYTON;9702;98;99;30,5;535;5,5;160;1,65;8;157;40;164;53;1462;3640;11;223;660;10;70;11,7;37;
DIEGO CEARÁ;6506;75;87;31,6;379;5,8;84;1,28;7;112;28;101;32;883;2180;8;201;372;9;60;10,9;29;
JADSON;8785;107;82;28,3;334;3,8;75;0,85;4;90;25;83;33;868;2823;7;165;468;6;48;8,5;26;
JEFFERSON;3207;32;100;30,4;344;10,7;43;1,33;2;64;15;51;16;647;1164;11;162;218;10;64;11,5;36;
JOÃO MARCUS;8863;107;83;28,3;560;6,3;126;1,43;8;155;45;136;33;1338;3070;8;199;493;8;56;9,9;29;
JUNIOR DINDÊ;1825;21;87;29,8;161;8,8;19;1,05;2;23;5;28;8;311;621;9;135;116;7;60;9;30;
KAYAN;7803;75;104;29,3;595;7,6;82;1,05;9;143;32;145;52;1359;3241;14;167;616;11;81;11,1;43;
MARQUINHOS;9282;86;108;28,4;664;7,2;43;0,46;4;127;25;165;57;1592;3362;12;155;628;9;75;13,3;39;
ORLANDO JUNIOR;2758;32;87;28,2;296;10,7;89;3,23;6;54;9;52;14;464;1131;10;332;199;9;75;11,2;36;
OTÁVIO;9914;107;92;31,1;563;5,7;136;1,38;7;127;21;140;40;1377;3297;9;145;569;8;64;10,5;31;
RAFINHA;1054;10;109;28,6;142;13,5;38;3,62;1;16;1;16;6;230;389;13;135;74;9;69;12,3;40;
TOSCANO;10151;107;95;31,9;688;6,8;168;1,65;9;143;23;150;41;1449;3881;11;452;709;8;73;11,3;36;
