Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4537;63;72;26,7;189;4,2;23;0,52;2;90;24;78;27;610;1792;8;161;309;9;63;10,9;29;
BILÃO;4445;65;68;28,9;142;3,2;16;0,37;1;86;19;71;22;598;1670;7;166;281;9;56;10,7;26;
BRUNO OLIVEIRA;4728;65;73;27,2;279;5,9;29;0,62;4;106;32;103;37;727;1872;8;170;318;10;64;10,8;29;
CESINHA;4077;65;63;29,1;194;4,8;36;0,87;3;72;19;60;19;515;1510;7;109;258;7;57;9,5;23;
CLAYTON;5052;65;77;27,3;216;4,3;19;0,37;2;113;41;94;37;765;2043;9;200;365;10;64;11,8;31;
DIEGO CEARÁ;4324;65;66;29,3;219;5,1;46;1,07;4;96;26;81;28;547;1614;7;168;262;8;62;10,9;25;
EZEQUIEL;5165;65;79;27,3;204;4;19;0,36;3;92;14;95;35;733;2031;9;161;355;10;70;12,6;31;
IGOR NUNES;4624;65;71;29;264;5,7;44;0,95;4;141;50;98;38;726;1705;7;193;275;11;57;11;26;
JADSON;4422;65;68;26,1;46;1;4;0,1;1;62;11;46;11;416;1646;7;125;269;7;53;9,4;25;
JEFFERSON;4652;65;71;29;411;8,8;85;1,83;5;146;38;98;37;876;1756;8;257;315;10;57;11,9;27;
JOÃO MARCUS;4506;65;69;27,1;121;2,7;9;0,19;1;79;22;61;20;494;1675;7;172;270;8;57;10,2;26;
JUNIOR DINDÊ;4872;65;75;25,5;230;4,7;3;0,06;0;72;21;62;26;601;1687;8;147;294;7;54;12,3;26;
KAYAN;4693;65;72;27,7;309;6,6;29;0,61;3;122;31;97;33;746;2178;11;174;411;10;72;11,1;33;
KLAYVER;4982;65;76;29,3;195;3,9;29;0,57;3;107;37;103;32;641;1815;8;200;324;10;64;11;28;
LUCAS;4669;65;72;26,6;141;3;17;0,35;2;100;18;92;33;663;1885;9;145;340;11;70;10,7;29;
MARQUINHOS;2711;36;76;17;0;0;0;0;0;37;13;22;7;175;1264;10;93;213;7;66;8,5;35;
ORLANDO JUNIOR;4599;65;71;28,8;193;4,2;35;0,76;4;112;24;94;29;649;1961;8;216;331;10;72;9,7;30;
OTÁVIO;5051;65;77;27,2;191;3,8;12;0,25;2;77;17;67;16;700;1885;8;172;315;8;58;11,1;29;
RAFINHA;4922;65;76;28,3;290;5,9;15;0,31;1;84;25;115;45;853;1890;9;139;334;12;63;11,5;29;
TOSCANO;3634;42;86;16,7;0;0;0;0;0;23;2;15;2;182;1735;12;87;313;4;79;11,2;41;
VITÃO;4604;65;71;26,5;138;3;12;0,26;2;79;22;79;31;601;1763;7;126;293;9;60;11,2;27;
