Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10239;104;99;30;669;6,4;137;1,31;9;143;34;151;52;1569;2884;10;177;509;8;99;11,1;53;
ANDERSON LIGEIRO;2104;20;107;28,5;242;11,5;41;1,95;4;42;15;27;9;380;772;11;163;132;6;74;11,4;39;
CESINHA;8075;86;94;29,5;540;6,7;64;0,79;4;85;23;93;28;1092;2677;9;131;487;6;61;9,9;31;
CLAYTON;7495;72;104;30,9;406;5,4;83;1,1;4;110;37;121;41;1183;2822;12;211;521;10;71;11,8;39;
DIEGO CEARÁ;8894;104;86;29,8;561;6,3;92;1,03;8;126;33;131;49;1173;2942;8;209;496;8;57;10;28;
IGOR NUNES;1994;18;112;32,1;228;11,4;95;4,78;4;32;7;41;13;385;661;11;169;114;10;65;12,1;37;
JADSON;9202;104;89;28;192;2,1;32;0,35;3;87;12;85;21;846;3045;8;129;494;6;55;9,4;29;
JEFFERSON;7271;73;100;32,2;886;12,2;263;3,62;13;156;44;161;57;1608;2534;11;176;469;11;67;11,2;35;
JOÃO MARCUS;9703;104;93;29,7;455;4,7;69;0,71;5;155;49;126;38;1401;3318;9;226;540;7;59;10,3;32;
JUNIOR DINDÊ;3133;31;102;28;125;4;13;0,4;1;31;7;42;14;416;1036;10;148;186;9;49;12,1;34;
KAYAN;10872;104;105;27,9;807;7,4;87;0,8;9;163;34;183;70;1875;4327;13;205;815;9;84;11,4;42;
KLAYVER;11138;104;107;31,1;794;7,1;273;2,45;15;162;36;169;61;1745;3769;11;224;700;9;77;12,5;36;
ORLANDO JUNIOR;3013;31;97;33,3;320;10,6;88;2,92;5;53;11;54;18;515;1167;12;223;216;8;68;9,3;38;
OTÁVIO;7985;85;94;33,2;324;4,1;67;0,84;4;114;14;107;31;1127;2693;9;171;447;8;60;10,6;32;
RAFINHA;7871;72;109;29,2;581;7,4;92;1,17;6;85;16;126;55;1339;2792;11;143;494;10;69;12,6;39;
TOSCANO;3586;31;115;27,1;227;6,3;12;0,32;2;32;4;41;10;592;1345;14;128;258;8;68;11,4;43;
