Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4864;50;98;29,4;337;6,8;64;1,3;4;71;17;77;25;788;1705;10;176;304;9;66;10,8;34;
CESINHA;4758;50;95;29,5;332;7;37;0,79;3;46;10;51;13;663;1595;10;121;292;6;61;9,9;32;
CLAYTON;5011;50;101;30,9;288;5,7;40;0,79;2;71;25;89;28;838;1871;12;211;347;10;71;11;38;
DIEGO CEARÁ;4293;50;86;29,8;328;7,6;63;1,47;5;65;17;72;24;632;1425;8;209;242;8;57;10;29;
JADSON;4389;50;88;28;91;2,1;17;0,38;2;43;8;43;10;474;1434;8;129;233;6;55;8,4;29;
JEFFERSON;4825;50;97;31,2;645;13,4;194;4,03;9;107;33;112;36;1102;1702;11;145;314;11;67;11,2;34;
JOÃO MARCUS;4680;50;94;29,7;204;4,4;38;0,81;3;84;24;66;19;706;1633;9;226;268;7;56;10,3;33;
KAYAN;5424;50;109;26,3;443;8,2;12;0,22;2;78;14;93;35;970;2158;14;205;410;10;84;11,4;43;
KLAYVER;5273;50;106;31,1;372;7,1;113;2,14;5;84;14;86;33;832;1789;11;205;332;10;77;12,5;36;
OTÁVIO;4661;50;94;28,1;218;4,7;33;0,72;3;69;10;67;20;724;1570;9;171;264;8;59;10,6;32;
RAFINHA;5324;50;107;29,2;447;8,4;90;1,69;6;59;13;86;34;944;1873;11;143;335;10;69;12,6;38;
