Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;4376;60;73;24,5;76;1,9;4;0,11;0;101;28;80;26;513;1999;9;162;343;11;70;11,7;33;
ANDERSON LIGEIRO;3829;60;64;23,9;114;3;0;0;0;134;51;93;33;617;1805;8;159;297;12;70;13,2;30;
BEDEU;4069;60;68;26,4;90;2,2;4;0,11;1;93;33;71;19;508;1682;8;231;286;10;60;12,7;28;
BILÃO;6757;60;112;19,1;0;0;0;0;0;42;14;27;9;130;2737;12;121;446;4;69;13,4;45;
BRUNO OLIVEIRA;4049;60;67;26,9;85;2,1;9;0,23;1;113;33;94;35;605;1944;9;185;329;12;76;13;32;
DIP;3892;60;65;27,1;98;2,5;8;0,21;1;106;28;97;35;580;1762;8;134;296;14;66;12,3;29;
EZEQUIEL;7237;60;120;17,2;0;0;0;0;0;45;5;28;6;162;3376;18;109;645;4;72;13,2;56;
JUNIOR DINDÊ;3588;60;60;23,9;66;1,8;0;0;0;80;20;73;22;446;1497;7;156;257;10;62;9,3;25;
LUCAS;4105;60;68;22,7;75;1,8;0;0;0;104;32;93;31;693;1983;10;142;370;13;76;12,4;33;
MARQUINHOS;4143;60;69;28,1;126;3;19;0,46;1;127;23;132;44;709;1970;9;189;331;15;71;10,1;33;
ORLANDO JUNIOR;3999;60;66;24,9;90;2,3;0;0;0;137;34;88;24;517;2069;10;200;352;12;76;9,4;34;
THOMAS;3927;60;65;25,6;85;2,2;5;0,13;1;104;24;71;19;503;1792;8;159;298;10;68;10,1;30;
TOSCANO;3976;60;66;26,7;44;1,1;9;0,22;1;83;13;75;23;495;1976;10;116;348;11;79;12,3;33;
UESLES;3868;60;64;25,7;94;2,4;4;0,11;1;145;57;92;33;576;1717;8;193;273;13;66;13,7;28;
VITÃO;3827;60;64;25,4;90;2,4;1;0,02;0;94;26;92;35;636;1669;8;177;279;12;63;8,6;28;
