Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10574;101;105;30,4;622;5,9;121;1,16;9;146;32;157;54;1551;2963;12;202;534;9;99;11,4;60;
ANDERSON LIGEIRO;3881;31;127;28,6;361;9,3;42;1,07;3;76;22;51;15;728;1424;13;270;242;9;80;13,1;46;
BRUNO OLIVEIRA;2073;20;105;30,5;128;6,2;24;1,18;1;43;9;50;14;341;794;11;173;135;12;60;9,7;40;
CESINHA;9382;101;93;28,1;539;5,7;120;1,28;8;115;27;117;36;1233;3119;9;114;569;7;58;10;31;
CLAYTON;8312;78;107;32,2;474;5,7;82;0,98;5;131;34;138;48;1261;3096;12;207;566;10;62;11,6;40;
DIONE;5585;50;112;30,7;231;4,1;70;1,25;3;52;9;67;31;715;2375;16;102;471;8;71;12,6;48;
JADSON;9231;101;92;31,5;365;4;108;1,17;9;90;15;116;39;1026;3031;8;169;512;7;51;10,2;30;
JEFFERSON;7577;70;109;32;634;8,4;112;1,48;10;116;27;131;34;1390;2674;12;180;499;10;74;12,3;38;
JOÃO MARCUS;9045;101;90;34;628;6,9;133;1,47;9;158;39;146;54;1331;3193;9;190;524;9;56;9,9;32;
JUNIOR DINDÊ;2529;23;112;29,1;131;5,2;29;1,16;2;24;9;35;14;345;827;11;118;152;9;55;10,2;37;
KAYAN;7851;70;112;30,5;595;7,6;129;1,64;9;128;29;136;48;1283;3252;15;150;615;10;74;12,4;46;
KLAYVER;9009;81;111;29,1;623;6,9;101;1,12;12;117;27;165;65;1464;3123;12;172;588;10;64;12,5;39;
MARQUINHOS;6442;50;128;28,1;268;4,2;15;0,23;1;110;23;110;40;1063;2389;15;180;447;11;74;13,1;47;
ORLANDO JUNIOR;3425;31;112;29,6;208;6,1;34;0,98;3;51;7;66;24;563;1390;14;400;255;9;68;11,2;45;
OTÁVIO;10316;101;103;32,5;581;5,6;144;1,4;12;128;25;131;39;1361;3434;10;173;588;7;66;11,4;34;
TOSCANO;11030;101;110;29,5;447;4,1;67;0,61;6;118;21;112;39;1397;4240;13;432;790;6;76;11,4;42;
