Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;3752;60;63;25,5;75;2;2;0,06;0;105;26;83;27;517;1749;8;207;294;11;64;10,4;29;
ANDERSON LIGEIRO;3895;60;65;26,2;127;3,3;5;0,13;1;136;39;90;29;612;1879;9;193;306;12;71;10;31;
BEDEU;3742;60;62;26,4;78;2,1;9;0,23;1;85;19;70;23;440;1630;8;167;273;10;57;10,2;27;
BRUNO OLIVEIRA;4077;60;68;27,3;76;1,9;1;0,04;0;109;25;102;37;561;1919;9;436;318;12;78;11,8;32;
DIEGO CEARÁ;3242;60;54;26,5;34;1;4;0,13;1;102;24;71;27;351;1464;6;218;231;11;52;10,2;24;
DIP;3721;60;62;24,6;53;1,4;0;0;0;84;17;77;25;471;1697;8;213;283;11;58;10,7;28;
EZEQUIEL;4049;60;68;25,1;83;2;0;0;0;111;25;97;19;576;2099;11;216;383;11;75;11,3;35;
IGOR NUNES;3716;60;62;26,2;110;3;4;0,11;0;123;40;76;31;641;1680;7;168;268;11;64;11,2;28;
JUNIOR DINDÊ;3673;60;61;25;51;1,4;0;0;0;78;22;68;21;394;1598;8;144;275;9;54;9,1;27;
LUCAS;3714;60;62;26,3;33;0,9;4;0,12;1;87;20;97;34;549;1813;9;185;329;12;72;9,8;30;
ORLANDO JUNIOR;3530;60;59;25,8;90;2,6;4;0,1;0;102;22;85;22;447;1807;9;246;308;10;67;9,7;30;
RAFINHA;3657;60;61;23,9;45;1,2;0;0;0;103;19;100;33;547;1752;8;163;299;13;63;10,8;29;
THOMAS;4013;60;67;25;121;3;0;0;0;118;30;80;19;537;1803;8;196;298;9;63;10,7;30;
UESLES;3700;60;62;25,1;83;2,2;0;0;0;137;41;78;28;545;1664;7;217;265;12;57;8,9;28;
VITÃO;3804;60;63;24;63;1,7;0;0;0;96;26;76;35;566;1678;8;140;280;10;61;10,9;28;
