Player;Distância Total (m);Duração Total (min);Distância Relativa (m/min);Velocidade Máxima (Km/h);Distância >19.8 Km/h;%Distância>19.8 Km/h;Distância >25.2 Km/h;%Distância >25.2 Km/h;NºSprints >25.2 Km/h;Distância Aceleração>3m/s²;NºAcelerações >3m/s²;Distância Desaceleração>3m/s²;NºDesacelerações <-3m/s²;Distância Potência Metabólica >25.5 W/Kg;Training Load;Dynamic Index;MPmax;Player Load;Strength index;TLmax_1min;AMP_T4;TL/min;
Team Average;10379;105;99;30,4;634;6,1;124;1,2;9;158;39;159;56;1531;2807;10;187;497;9;97;11,3;54;
ANDERSON LIGEIRO;3303;30;112;32;164;5;34;1,02;2;59;18;50;24;511;1215;11;183;203;8;68;12,4;41;
CESINHA;9515;105;91;30,1;563;5,9;91;0,96;7;104;30;114;36;1215;2991;9;141;534;6;59;10,2;29;
CLAYTON;6671;64;104;31,3;410;6,1;102;1,53;7;119;35;118;47;1072;2498;12;293;451;11;79;13,1;39;
DIEGO CEARÁ;9388;105;90;30,9;743;7,9;134;1,43;13;153;38;172;58;1355;2965;8;251;494;8;56;10,5;28;
DIONE;8113;75;108;25,6;357;4,4;1;0,02;0;70;13;81;28;1132;3275;14;135;637;7;84;12,4;44;
JADSON;5682;64;88;32;239;4,2;69;1,21;3;85;18;81;24;671;1889;8;168;313;8;54;9,9;29;
JOÃO MARCUS;9629;105;92;29,5;460;4,8;91;0,95;4;193;55;149;54;1468;3305;9;165;543;9;61;9,9;32;
JUNIOR DINDÊ;3600;35;102;31,1;182;5;49;1,37;4;36;10;38;10;460;1137;10;145;203;5;58;11,2;32;
KAYAN;10879;105;104;31,4;811;7,5;192;1,76;10;169;43;172;64;1807;4258;13;176;798;9;67;12,1;41;
KLAYVER;11228;105;107;31,5;689;6,1;156;1,39;11;176;49;204;77;1645;3710;11;193;670;10;62;11,8;35;
MARQUINHOS;4739;40;118;30,8;308;6,5;42;0,89;5;61;9;86;28;770;1767;13;137;310;11;66;12,8;44;
ORLANDO JUNIOR;7118;75;95;30,7;649;9,1;125;1,76;10;128;26;108;37;1089;2720;11;226;483;8;80;10,5;36;
OTÁVIO;6892;70;99;32;403;5,8;94;1,36;6;105;20;123;36;1049;2348;10;177;398;9;59;12;34;
TOSCANO;3285;29;112;26,1;181;5,5;6;0,17;1;39;7;35;9;522;1220;13;202;222;7;63;10,8;41;
UESLES;3764;40;93;30,7;185;4,9;55;1,46;4;84;22;62;24;549;1373;9;210;227;11;55;9,9;34;
