ORLANDO JUNIOR | EXTREMO 
OTÁVIO | VOLANTE
ANDERSON LIGEIRO | EXTREMO 
RAFINHA | MEIA 
BRUNO FUSO | GOLEIRO
UESLES | ZAGUEIRO
JOÃO MARCUS | ZAGUEIRO 
KAYAN | EXTREMO 
LUCAS | EXTREMO 
MARQUINHOS | MEIA 
CESINHA | LATERAL 
CLAYTON | VOLANTE
VITÃO | ZAGUEIRO 
ALLAN | GOLEIRO 
BILÃO | EXTREMO 
BRUNO OLIVEIRA | LATERAL 
CAIO | GOLEIRO 
IGOR NUNES | LATERAL 
JADSON | ZAGUEIRO 
JEFFERSON | EXTREMO 
JUNIOR DINDE | VOLANTE 
KLAYVER | ZAGUEIRO 
EZEQUIEL | CENTRO AVANTE 
TOSCANO | CENTRO AVANTE 
THIGO TORRIALBA | GOLEIRO 
DIEGO CEARÁ | CENTRO AVANTE
